country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Gabon,,,,,,,,,,,,,,,,,,,,,,,,5.33,,,,,,,,,,,,,,,,,1.93,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,40.1,36.7,40.2,37.1,38.8,37.6,39,,,34.8,32.9,31.2,32.8,32.9,31.9,31,29.8,29.3,28
Germany,,,,,,,,,,,,,,7.91,7.49,6.17,6.07,5.5,5.33,4.59,4.3,2.92,2.87,2.76,2.62,2.65,1.92,1.75,1.83,1.52,1.42,2.13,1.92,1.69,1.91,1.94,1.74,1.77,1.51,1.02,0.89,0.88,0.78,0.71,0.66,0.58,0.55,0.53
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,27.8,,13.5,,
Greece,,,,,,,,,,,,,,36,35.7,33.9,35.7,33.9,32.1,31.3,27.7,25.2,26,25.2,25.6,25.1,24.3,23.6,21.3,18.5,17.2,14.8,13.9,13.7,11.3,11.1,10.8,10.5,9.68,9.55,9.12,8.48,7.77,7.72,7.07,6.3,5.77,5.96
Grenada,,,,,,,,,,,,,,,,,,,,,,5.51,,,,,0.61,,1.73,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,15.1,,24.5,21,17.1,,,,,,16.9,12.8,17.6,12.1,13.1,12.3,11.4,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,6.26,6.62,7.02,,6.09,6.46,10.5,10.8,10.7,14.3,,11.3,11,10.1,9.13,9.06,7.78,8.35,7.7,9.25,10.6,10.8,9.43,10.4,10.1,11.3,10.5,11
Hungary,,,,,,,,,,,,,,,,,,,,,,,1.82,1.66,1.6,1.66,1.6,1.76,1.12,1.07,1,0.94,0.98,0.7,0.62,0.67,0.77,0.69,0.44,0.48,0.45,0.63,0.53,0.47,0.4,0.27,0.39,0.46
Iceland,,,,,,,,,,,,,,,,,,,,,,3.04,2.72,2.84,2.49,1.25,0.92,0.39,0.31,0.3,0.56,,0.39,,,,,,,,,,,,,,,0.23
India,,,,,,,,,,,,,,,,,,,,,,,,,33.7,,,,,,33.6,,,,,38.2,,,,,31.8,,31.5,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,38.6,36.2,41.5,38.5,37.5,34.1,33.6,32.6,32.9,33.5,32.8,32.1,30.8,30,28.1,26,25.2
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,,,,,,,,,,,32.6,29.7,29,26.7,,,,19.5,19.9,19.6,18.6
Ireland,,,,,,,,,,,,,,6.83,5.69,6.52,3.62,4.13,3.66,3.71,3.51,2.63,2.04,2.33,2.12,1.88,1.48,1.84,2,1.8,1.9,1.48,1.16,1.35,0.92,0.9,0.87,0.98,0.87,1.02,0.92,0.77,0.89,1,0.81,0.93,0.89,0.62
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,1.06,0.92,0.85,0.82,0.77,0.76,0.67,0.68,0.57,0.55,0.47,0.38,0.34,0.33,0.27,0.22,0.19,0.17,0.15,0.13,0.13,0.11
Italy,,,,,,,,,,,,,,10.3,11.2,10.6,10.1,9.98,9.49,8.25,7.37,7.32,8.94,8.51,7.95,7.68,7.22,6.85,6.6,5.77,5.81,6.09,5.89,5.91,3.63,2.81,2.71,2.62,2.48,2.2,2.28,2.23,1.99,2.01,1.95,1.86,1.77,1.65
Jamaica,,,,,,,,,,,,,,,,,,,,,,4.47,4.11,3.2,3.37,3.93,3.59,3.18,3.44,3.01,3.03,3.45,2.51,2.22,2.38,2.49,2.17,2.16,2.12,,,1.46,1.47,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,16.7,15.5,14.3,13.1,12.8,12.5,12,11.6,11.3,11.1,10.6,10.1,9.52,9.16,8.87,8.58,7.62,7.3,6.85,6.29,5.87,5.59,5.46,5.26,4.98,4.79,4.39,4.23
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,
